Name	Field	Morpho	Sp (mJy)	err_Sp	Sint (Jy km/s)	err	RMS (mJy/beam)	V_sys (km/s)	w50	DL (Mpc)	log M_HI	D_HI (kpc)
MGTH_J021529.1-051859	XMMLSS12_1330_1380	SP	6.13647799774613	0.24010047108009264	0.7381455058308963	0.03690727529154482	0.24010047108009264	7780.4169284479085	157.395241	114.55864678346569	9.335891267807078	28.183829312644534
MGTH_J021532.8-044607	XMMLSS12_1330_1380	SP	8.139108427329703	0.10929344563538594	1.9268694912292863	0.09634347456146433	0.10929344563538594	12382.517847292564	290.636214	186.1567611073048	10.160955906711726	67.60829753919819
MGTH_J021534.4-042904	XMMLSS12_1310	SP	1.8410049489791356	0.14877405121127096	0.12898003297442598	0.006449001648721299	0.14877405121127096	23581.61645758288	68.952855	373.3325181069124	9.558355834226848	35.56313185689853
MGTH_J021541.6-051317	XMMLSS12_1330_1380	IR	10.618636572673617	0.16092131807730456	0.7240330449560127	0.036201652247800635	0.16092131807730456	12634.982081587525	90.115346	189.80177614623318	9.752038718279607	46.025657358135604
MGTH_J021542.4-045436	XMMLSS12_1330_1380	SP	3.757043948112484	0.1077035462500148	0.497022045867552	0.0248511022933776	0.1077035462500148	12589.106776501665	456.49294100000003	189.07200131555402	9.585443160358578	39.35500754557774
MGTH_J021544.5-045540	XMMLSS12_1330_1380	SP	8.166607201015276	0.09852497956463416	1.7417572386859383	0.08708786193429692	0.09852497956463416	12784.29223581038	225.531848	192.72474130193194	10.006308556099675	64.41692655151772
MGTH_J021600.4-044414	XMMLSS12_1310	SP	8.346975590519914	0.08038887302501962	0.5763963157570604	0.028819815787853018	0.08038887302501962	20100.95971339933	275.155525	312.5398017146129	10.064474648744866	52.48074602497726
MGTH_J021609.9-051858	XMMLSS12_1330_1380	SP	16.95262773650293	0.1405556307411571	3.0932849863424843	0.15466424931712422	0.1405556307411571	16422.67392094054	185.127455	251.7379309648888	10.616863596702924	121.05981335504829
MGTH_J021632.8-041357	XMMLSS12_1330_1380	SP	3.4535609960997258	0.17475290136208305	0.2155006461857864	0.01077503230928932	0.17475290136208305	12830.236924511497	95.068927	192.72474130193194	9.238469983818467	20.65380155810529
MGTH_J021639.9-044747	XMMLSS12_1310	SP	9.681235698481217	0.06262826728932383	1.0602667948069562	0.05301333974034781	0.06262826728932383	20136.14357785981	137.304672	313.30095982052774	10.33115060731548	98.8553094656939
MGTH_J021642.0-044221	XMMLSS12_1330_1380	SP	8.15715554725214	0.06375030823776512	0.5970757320515824	0.02985378660257912	0.06375030823776512	12577.57743945803	64.537382	189.07200131555402	9.665096927451847	31.915378551007617
MGTH_J021645.4-042035	XMMLSS12_1310	IR	3.019656986672432	0.10389718652861324	0.2811435179660306	0.01405717589830153	0.10389718652861324	24008.754259918107	112.72326299999999	380.80003924417395	9.912718183244957	50.69907082747044
MGTH_J021659.0-050352	XMMLSS12_1330_1380	ET	2.71778673005962	0.08087707458357223	0.19442059125448186	0.019442059125448188	0.08087707458357223	7667.337410153632	96.170334	112.48954076221204	8.741053464849628	14.321878992735432
MGTH_J021702.2-050351	XMMLSS12_1330_1380	ME	8.296640716321884	0.06344494245899199	1.0285503936955431	0.05142751968477716	0.06344494245899199	7701.258027386682	129.705473	113.86858162168215	9.386237008826491	29.991625189876515
MGTH_J021702.2-044454	XMMLSS12_1330_1380	SP	2.1628318603148937	0.057648570967605214	0.28622551068634905	0.014311275534317453	0.057648570967605214	16411.08181750189	254.327277	250.9753136735268	9.580651694997638	32.96097121774578
MGTH_J021702.7-051940	XMMLSS12_1330_1380	SP	8.83360939455217	0.12521714992684488	1.1854161407555472	0.05927080703777736	0.12521714992684488	15657.032766530174	140.859556	238.82838942176326	10.15688120794712	54.450265284242114
MGTH_J021708.4-041349	XMMLSS12_1330_1380	SP	11.046902343968034	0.13784975890924395	1.7781285212495033	0.08890642606247517	0.13784975890924395	16422.67392094054	161.26899	251.7379309648888	10.376406811140177	88.30799004185627
MGTH_J021711.2-042120	XMMLSS12_1330_1380	SP	3.540282392123405	0.09568967978197036	0.6996199196201065	0.034980995981005326	0.09568967978197036	16469.199848137607	384.58633599999996	251.7379309648888	9.971305829266603	54.82769649208539
MGTH_J021711.8-042441	XMMLSS12_1330_1380	IR	2.915487123647569	0.08343368025040399	0.2695693438478415	0.013478467192392077	0.08343368025040399	11191.490906118892	135.89951499999998	167.36074382670643	9.217779024836613	26.6072505979881
MGTH_J021714.5-052922	XMMLSS12_1330_1380	SP	8.461933739594762	0.2330465734534941	0.6363835341515751	0.06363835341515751	0.2330465734534941	5189.922433680495	241.70634500000003	75.80179439125287	8.920214741091284	18.450154191794738
MGTH_J021719.4-052851	XMMLSS12_1330_1380	SP	72.99540040026524	0.17868936331525714	14.930649617161956	0.7465324808580979	0.17868936331525714	5324.574525987029	239.520369	77.14223379598039	10.287277421737633	74.98942093324558
MGTH_J021729.0-050827	XMMLSS12_1330_1380	SP	6.9307854806143805	0.06898507645902911	0.7901826659196216	0.03950913329598108	0.06898507645902911	12818.746315720922	101.840132	192.72474130193194	9.802748905491487	48.64072056914614
MGTH_J021729.9-041656	XMMLSS12_1330_1380	SP	1.9741157022973619	0.11181058756349968	0.15034536747801258	0.01503453674780126	0.11181058756349968	10016.259815858626	87.54713000000001	148.81778169506285	8.865643324075368	13.708817661648537
MGTH_J021742.0-041520	XMMLSS12_1330_1380	SP	7.329726228978213	0.1222655905532133	0.9659521796398696	0.04829760898199348	0.1222655905532133	9879.621038184201	199.671717	147.4019157648271	9.665469730308061	46.665938031428865
