#Created by Natasha on Wed Nov 11 19:09:39 2020
#Early science data from COSMOS and XMMLSS, 1310-1420MHz
#Only objects with an optical counterpart are included, duplicates have been removed
#Objects with Mstellar -99 are outside the deep imaging footprint
name ra dec freq z Log(MHI) Log(Mstellar) W50 u(W50) Log(SFR) Log(Age) EBV umag gmag rmag Semimaj Semimin PA Inclination
MGTH_J095720.6+015507 149.335627 1.918625 1.376302 0.032045 9.690000 10.139600 195.746560 44.000000 0.196737 10.041393 0.000000 0.000000 15.360500 14.965485 35.412000 26.773000 50.000000 40.883398
MGTH_J095934.2+013706 149.892392 1.618295 1.376511 0.031888 8.633000 8.112330 83.665791 44.000000 -1.177900 8.856548 0.050000 0.000000 18.812425 18.619015 6.885000 6.836000 90.000000 6.839772
MGTH_J100143.2+024109 150.430155 2.685806 1.356655 0.046991 9.712000 9.239940 183.626062 44.000000 -0.081352 9.477121 0.100000 18.593977 17.721064 17.366805 16.782000 12.575000 0.000000 41.468946
MGTH_J100041.1+022446 150.171143 2.412895 1.356655 0.046991 9.068000 8.193820 65.712600 44.000000 -0.424585 8.756548 0.300000 20.867460 19.977257 19.594132 5.342000 5.111000 90.000000 16.910997
MGTH_J100259.0+022035 150.746028 2.342968 1.360208 0.044256 9.769000 10.926200 267.157906 44.000000 0.901709 9.778151 0.150000 0.000000 14.804226 14.183091 34.755000 30.155000 50.000000 29.813891
MGTH_J100055.2+022344 150.230087 2.395457 1.360208 0.044256 9.274000 10.416000 231.426015 44.000000 -0.122561 9.845098 0.050000 17.547062 16.214165 15.586224 21.680000 13.983000 0.000000 49.836399
MGTH_J100313.9+022031 150.807844 2.341862 1.367106 0.038987 9.320000 -99.000000 175.000118 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
MGTH_J095923.2+024137 149.846692 2.693685 1.355819 0.047637 8.983000 9.680960 228.339796 44.000000 -0.148713 9.903090 0.050000 18.364504 17.424356 16.977141 12.135000 6.913000 80.000000 55.272470
MGTH_J100236.5+014836 150.652261 1.809967 1.358536 0.045541 9.725000 9.224400 137.319486 44.000000 0.012106 8.506547 0.200000 0.000000 17.111529 16.771557 19.500000 18.134000 90.000000 21.573178
MGTH_J100313.5+015343 150.806308 1.895350 1.358536 0.045541 9.451000 -99.000000 130.124268 44.000000 -99.000000 0.000000 -99.000000 0.000000 0.000000 0.000000 4.000000 4.000000 0.000000 0.000000
