ra	dec	freq	z	Log(MHI)	Log(Mstellar)	Log(SFR)	Log(Age)	EBV	umag	gmag	rmag	Inclination	Name_copy	asy	log_asy	spec_center	Asy_l
150.807844	2.341862	1.367	0.039	9.32	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100313.9+022031	1.03	-0.0725706928348353	-2.0	-0.09
149.846692	2.693685	1.356	0.048	8.983	9.68096	-0.148713	9.90309	0.05	18.364504	17.424356	16.977141	55.27247	J095923.2+024137	0.97	0.0861776962410524	0.0	-0.0
150.652261	1.809967	1.359	0.046	9.725	9.2244	0.012106	8.506547	0.2	0.0	17.111529	16.771557	21.573178	J100236.5+014836	0.7	-0.371063681390832	0.0	-0.26
150.806308	1.89535	1.359	0.046	9.451	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100313.5+015343	0.87	-0.1278333715098848	0.0	-0.11
150.404485	2.10662	1.36	0.045	8.491	8.92938	-0.673457	9.812913	0.1	19.620231	18.6917	18.272216	7.413773	J100137.1+020624	0.78	0.378436435720245	0.0	0.19
150.20061	1.237149	1.358	0.046	9.985	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100048.1+011414	0.96	-0.0512932943875505	0.0	-0.06
150.146449	1.242436	1.358	0.046	9.792	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100035.1+011433	0.93	-0.1625189294977749	0.0	-0.12
150.552889	1.850084	1.337	0.063	9.105	8.85438	-0.331032	9.255273	0.1	19.877623	19.00279	18.68213	68.332433	J100212.7+015100	0.79		0.0	-0.16
150.321183	2.060275	1.338	0.062	9.317	9.45926	-0.465815	9.845098	0.0	19.353374	18.412583	18.008831	48.873925	J100117.1+020337	1.11		0.0	0.1
150.016264	1.881498	1.333	0.065	9.524	9.0958	-0.592581	9.69897	0.0	19.875076	18.999224	18.659272	57.551625	J100003.9+015253	0.76	-0.3011050927839216	-1.0	-0.19
149.363779	1.87243	1.375	0.033	8.807	8.31156	0.177483	8.006543	0.3	0.0	17.897732	17.595738	31.755911	J095727.3+015221	0.98	0.2546422183735807	0.0	0.03
150.550541	3.053238	1.379	0.03	8.9	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100212.1+030312	1.04	0.1043600153242428	0.0	0.01
150.652188	1.771678	1.359	0.045	8.744	7.94225	-1.32108	9.380211	0.1	0.0	20.452731	20.160727	50.160919	J100236.5+014618	0.63	-0.0202027073175194	2.0	-0.01
150.598862	2.674246	1.329	0.068	9.461	9.10487	-0.208378	9.414973	0.0	19.14069	18.357687	18.162563	17.474508	J100223.7+024027	0.83	-0.527632742082372	-2.0	-0.38
150.526091	2.348021	1.337	0.062	8.716	7.69593	-1.4057	9.30103	0.0	21.777997	21.058085	20.921212	52.502908	J100206.3+022053	0.98	-0.083381608939051	2.0	-0.04
150.453582	2.441562	1.337	0.062	9.263	8.90899	-0.300458	9.414973	0.15	19.89959	18.960221	18.590508	20.641725	J100148.9+022630	0.79	-0.3011050927839216	6.0	-0.15
150.43203	2.331279	1.337	0.062	9.122	8.71706	-0.492385	9.414973	0.15	20.350858	19.451861	19.070464	43.684889	J100143.7+021953	0.78	-0.3011050927839216	6.0	-0.15
149.482923	2.435629	1.326	0.071	9.508	10.0867	-0.007596	9.69897	0.3	0.0	18.686161	17.883674	75.966385	J095755.9+022608	0.84	-0.0943106794712412	30.0	-0.05
150.0262	2.635676	1.337	0.063	9.208	8.87427	-0.372167	9.414973	0.15	20.06154	19.119206	18.7441	63.731803	J100006.3+023808	0.94	-0.1053605156578262	7.0	-0.05
150.574384	1.856795	1.337	0.062	9.701	10.189	0.692106	9.69897	0.1	17.26228	16.366006	15.980113	47.835202	J100217.9+015124	1.4	0.4446858212614457	0.0	0.2
150.067715	2.424341	1.311	0.083	9.315	8.24371	-0.047007	8.106544	0.2	20.678835	19.801094	19.666268	-99.0	J100016.3+022528	0.82	-0.8209805520698302	-2.0	-0.6
150.130722	2.431341	1.314	0.081	8.962	8.97557	-0.611038	9.544068	0.0	20.501705	19.57544	19.254616	68.401119	J100031.4+022553	0.54	-0.6539264674066639	-5.0	-0.31
150.374764	2.284714	1.32	0.076	9.617	10.3633	0.551705	9.778151	0.15	18.239391	17.145593	16.588664	35.44569	J100129.9+021705	0.9	-0.0408219945202551	0.0	-0.04
150.265417	2.514789	1.325	0.072	9.837	9.93412	0.483088	9.653213	0.1	18.106057	17.2137	16.910431	51.192853	J100103.7+023053	0.95	-0.0618754037180875	-7.0	-0.03
150.595055	2.755408	1.325	0.072	9.785	9.41735	1.20715	8.056547	0.3	0.0	17.011589	16.720751	63.764484	J100222.8+024519	0.88	-0.342490308946776	-5.0	-0.17
150.338308	2.787292	1.324	0.073	9.381	9.12452	-0.362957	9.255273	0.0	0.0	18.528853	18.308693	53.842501	J100121.2+024714	0.94	-0.0202027073175194	-2.0	-0.09
149.93777	2.586154	1.316	0.079	9.166	9.16091	-0.233284	9.414973	0.0	19.497562	18.675854	18.455462	5.289757	J095945.1+023510	0.64	0.0295588022415444	0.0	-0.16
149.782441	2.703669	1.316	0.079	9.804	10.7989	0.617159	9.845098	0.05	17.365883	16.16306	15.668724	41.174955	J095907.8+024213	0.83	-0.1053605156578262	0.0	-0.09
149.757213	2.616789	1.317	0.079	9.212	9.41825	-0.184582	9.812913	0.15	19.996758	18.956551	18.518815	30.050031	J095901.7+023700	1.82		-19.0	-0.54
150.009811	2.589387	1.317	0.079	9.186	9.53808	0.259845	9.477121	0.3	20.112017	19.03212	18.492488	74.004434	J100002.4+023522	1.46	0.5364933705145685	2.0	0.26
149.835239	2.773901	1.318	0.077	9.497	9.45336	0.030395	8.906548	0.3	0.0	18.819944	18.333535	25.995184	J095920.5+024626	1.01	-0.9675840262617056	-5.0	-0.64
150.279441	1.904478	1.318	0.078	9.767	10.2502	0.438613	9.778151	0.1	18.262781	17.222095	16.753215	32.101312	J100107.1+015416	1.24	0.3435897043900768	0.0	0.12
150.576952	1.761712	1.314	0.081	9.548	9.49164	0.170345	9.477121	0.0	18.682694	17.852321	17.629235	54.725584	J100218.5+014542	0.84	-0.2357223335210698	0.0	-0.16
150.26522	1.515149	1.313	0.082	9.717	-99.0	-99.0	0.0	-99.0	0.0	0.0	0.0	0.0	J100103.7+013055	0.74	-0.1165338162559515	4.0	-0.06
149.999505	1.986945	1.315	0.08	9.644	10.0799	0.267122	10.0	0.0	18.307072	17.401723	17.083554	29.826267	J095959.9+015913	0.6	-0.0202027073175194	2.0	-0.08
149.989062	1.987268	1.316	0.079	8.829	9.42337	-0.198332	9.653213	0.1	20.0481	19.084359	18.546428	45.539757	J095957.4+015914	1.0		0.0	0.92
149.812229	1.819601	1.316	0.079	9.508	8.52461	-0.073517	8.756548	0.2	20.459106	19.670156	19.454193	13.077323	J095914.9+014911	0.86	0.3001045924503381	0.0	-0.12
150.060453	2.006647	1.317	0.079	8.9	10.2044	0.303053	9.954243	0.1	18.667378	17.613446	17.132315	54.173162	J100014.5+020024	1.77	0.5653138090500605	-27.0	0.28
150.1305	2.131027	1.317	0.078	8.777	9.16652	-0.857956	9.778151	0.0	20.814326	19.737974	19.319212	60.50226	J100031.3+020752	1.01	-0.3147107448397002	-14.0	-0.96
149.977184	2.004803	1.318	0.078	9.577	10.3609	0.266539	9.69897	0.05	18.173269	17.028164	16.504978	27.713023	J095954.5+020017	1.65	0.3364722366212129	0.0	0.24
150.048774	2.077952	1.318	0.078	9.15	8.02762	-0.566535	8.756548	0.2	21.662405	20.837242	20.623248	40.01901	J100011.7+020441	0.71	-0.3011050927839216	-2.0	-0.15
150.314539	2.48284	1.322	0.075	8.93	10.2051	0.471326	9.875061	0.2	18.74865	17.684129	17.130899	56.05202	J100115.5+022858	0.54	-0.7550225842780328	20.0	-0.36
